,gain,column_name
311,261015.03697506338,static_base_previouscontdistrict_112M
312,262077.3882098198,past_shallow_credamount_590A
313,262204.2141907625,past_shallow_mainoccupationinc_437A
314,263123.13635674864,static_base_lastapprdate_640D
315,264319.34022417665,past_shallow_approvaldate_319D
316,264830.5101708919,past_shallow_downpmt_134A
317,265008.6867457703,month
318,266290.8028162271,static_base_maxinstallast24m_3658928A
319,266691.6079426259,static_base_maxdbddpdtollast12m_3658940P
320,268059.6909208745,past_shallow_currdebt_94A
321,269115.92248720117,static_base_opencred_647L
322,271346.402011808,reg_c_processingdate_168D
323,275358.77847506106,weekday
324,277446.16294384,static_base_inittransactionamount_650A
325,280470.09538580664,person_shallow_mainoccupationinc_384A
326,280560.9932418205,static_base_sumoutstandtotal_3546847A
327,282078.2787821628,int_shallow_debtoverdue_47A
328,283051.9010085389,past_shallow_dtlastpmt_581D
329,283465.464063175,person_shallow_safeguarantyflag_411L
330,283910.65607874095,past_shallow_outstandingdebt_522A
331,296859.7118225619,past_shallow_num_group1
332,297316.44928141683,past_depth_num_group1
333,297535.5813685134,static_base_lastapprcredamount_781A
334,304673.5621734932,static_base_posfstqpd30lastmonth_3976962P
335,305835.4703431204,person_shallow_contaddr_zipcode_807M
336,307307.0994723588,past_shallow_dtlastpmtallstes_3545839D
337,308169.3765720576,int_shallow_dateofcredend_353D
338,311667.1166448146,past_shallow_credacc_credlmt_575A
339,312011.9977912456,int_shallow_prolongationcount_599L
340,313468.35386125,static_base_posfpd30lastmonth_3976960P
341,316345.68483768404,person_shallow_registaddr_zipcode_184M
342,317846.72136983334,int_shallow_annualeffectiverate_63L
343,323099.28387880325,int_shallow_outstandingamount_362A
344,335923.49778316915,past_shallow_creationdate_885D
345,339392.8778632581,reg_a_num_group1
346,342340.4833718464,int_shallow_monthlyinstlamount_674A
347,353163.5939897746,static_base_lastrejectcredamount_222A
348,365747.8968047574,past_shallow_rejectreason_755M
349,367165.221062243,static_base_maxdebt4_972A
350,367937.37526862975,past_shallow_maxdpdtolerance_577P
351,369288.0139366444,int_shallow_dateofrealrepmt_138D
352,376041.03783223033,int_shallow_dateofcredend_289D
353,376900.42950078845,int_shallow_monthlyinstlamount_332A
354,382141.1153347194,int_shallow_lastupdate_388D
355,383962.9916215688,static_base_maxdpdlast12m_727P
356,386747.39940823615,past_shallow_pmtnum_8L
357,387495.2801504228,int_depth_collater_valueofguarantee_876L
358,390094.64819295704,past_shallow_firstnonzeroinstldate_307D
359,390268.48737942055,reg_c_employername_160M
360,402140.7972244173,past_shallow_tenor_203L
361,402346.0721948296,int_depth_pmts_overdue_1152A
362,402532.20157024544,static_base_currdebt_22A
363,403241.80637864023,int_shallow_overdueamountmax2_398A
364,403798.54344493896,person_shallow_language1_981M
365,404157.00681884587,static_base_totaldebt_9A
366,410239.0788913006,int_shallow_annualeffectiverate_199L
367,410423.45568293147,int_shallow_overdueamountmax_35A
368,410778.8624716699,past_shallow_rejectreasonclient_4145042M
369,417078.36515167356,static_base_firstdatedue_489D
370,421082.84823675547,reg_a_name_4527232M
371,421798.6528848801,past_shallow_annuity_853A
372,426004.4868247658,int_shallow_totalamount_996A
373,428893.9453178048,int_shallow_totaloutstanddebtvalue_39A
374,429363.0468822047,static_base_maxdpdlast24m_143P
375,430739.2145219296,int_shallow_credlmt_935A
376,438154.9765357971,int_shallow_dateofcredstart_181D
377,438650.3662709743,static_base_maxannuity_159A
378,447637.5882060081,static_base_firstclxcampaign_1125D
379,459227.9375445992,static_base_lastapplicationdate_877D
380,459985.8716554716,static_base_datelastinstal40dpd_247D
381,466834.15149466693,static_base_maxdpdinstldate_3546855D
382,486671.0900105238,int_shallow_instlamount_768A
383,490027.95495812595,year
384,495105.421780169,static_base_amtinstpaidbefduel24m_4187115A
385,496360.5770647824,reg_c_pmtamount_36A
386,500567.50468017906,static_base_pctinstlsallpaidearl3d_427L
387,519548.2921532914,int_shallow_dpdmaxdateyear_596T
388,522930.6867915392,int_depth_collater_valueofguarantee_1124L
389,543252.4088817388,int_shallow_debtoutstand_525A
390,552723.4408668801,past_shallow_education_1138M
391,555348.4326331168,week
392,576963.21421884,static_base_totalsettled_863A
393,583184.222510647,static_base_datelastunpaid_3546854D
394,592466.517421551,int_shallow_residualamount_488A
395,594876.1980591007,int_shallow_overdueamountmax2date_1002D
396,614356.4491670504,static_base_lastrejectreason_759M
397,632972.3141601235,person_shallow_incometype_1044T
398,660692.9844293818,static_base_lastdelinqdate_224D
399,664279.963352412,int_shallow_overdueamountmax2_14A
400,670785.5188732296,static_base_mobilephncnt_593L
401,688100.718893975,static_base_cntpmts24_3658933L
402,693397.8845946118,static_base_pctinstlsallpaidlat10d_839L
403,699316.8136185631,static_base_interestrate_311L
404,701834.5846076682,static_base_eir_270L
405,707046.9153038859,static_base_disbursedcredamount_1113A
406,730469.5406930149,past_shallow_status_219L
407,731475.9707977772,int_shallow_overdueamountmax2date_1142D
408,748913.7532073446,int_shallow_totalamount_6A
409,749798.3707764298,int_shallow_dpdmax_757P
410,763729.5755704641,static_base_credamount_770A
411,768129.1420560591,int_depth_pmts_dpd_303P
412,774435.143894799,static_base_annuity_780A
413,809100.5885111839,int_shallow_numberofoverdueinstlmax_1151L
414,835527.8913749158,reg_a_amount_4527230A
415,853313.8495389968,int_shallow_numberofoverdueinstlmax_1039L
416,855911.890722543,int_depth_pmts_dpd_1073P
417,878745.1015236825,int_shallow_dpdmax_139P
418,908723.7972895801,int_shallow_numberofoverdueinstlmaxdat_641D
419,924777.4569443688,int_shallow_dateofcredstart_739D
420,936275.9718710333,static_base_pmtnum_254L
421,954247.6208997592,int_shallow_numberofoverdueinstlmaxdat_148D
422,977687.263224572,person_shallow_empl_employedfrom_271D
423,1042417.190044339,past_shallow_employedfrom_700D
424,1045964.6498977058,static_base_isbidproduct_1095L
425,1050032.8911352009,int_shallow_residualamount_856A
426,1058777.296322465,int_depth_pmts_overdue_1140A
427,1110679.2915748134,int_shallow_overdueamountmax_155A
428,1129213.914396055,static_base_pctinstlsallpaidlate6d_3546844L
429,1220572.5120966136,static_base_price_1097A
430,1469689.4783664495,static_base_pctinstlsallpaidlate4d_3546849L
431,1491772.3495007167,static_base_lastrejectdate_50D
432,1933430.7433997542,static_base_pctinstlsallpaidlate1d_3546856L
433,1972671.6575724203,person_shallow_birth_259D
